,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,State,Full_Address,Lat,Lng
2252,2293291,CLOSED,8429 Henderson Road,Apex,27539,1/30/2020,Belmont,"5,179",2006,5,4,1,Detached,"$425,000.00","$410,000.00",0,Yes,2,.26-.5 Acres,0.96,NC,"8429 Henderson Road,Apex,NC,27539",35.6623621,-78.7514731
2253,2153490,CLOSED,2003 Abby Knoll Drive,Apex,27502-4302,1/12/2018,Haddon Hall,"3,424",1996,4,2,1,Detached,"$427,500.00","$410,000.00",40,Yes,2,.26-.5 Acres,0.96,NC,"2003 Abby Knoll Drive,Apex,NC,27502-4302",35.7457749,-78.8656225
2254,2225184,CLOSED,2610 Rambling Creek Road,Apex,27523,11/1/2018,The Preserve at White Oak Creek,"2,922",2018,4,3,0,Detached,"$410,221.00","$410,221.00",0,Yes,2,0-.25 Acres,1.0,NC,"2610 Rambling Creek Road,Apex,NC,27523",35.7519688,-78.909706
2255,2259432,CLOSED,755 Goldenview Acres Court,Apex,27502,12/31/2019,Goldenview,"2,382",2019,4,2,1,Detached,"$399,000.00","$410,230.00",0,Yes,2,0-.25 Acres,1.03,NC,"755 Goldenview Acres Court,Apex,NC,27502",35.721464,-78.854824
2256,2305618,CLOSED,2531 Impulsion Drive,Apex,27562,8/28/2020,Woodbury,"1,755",2020,2,2,0,Detached,"$424,965.00","$410,735.00",0,Yes,2,0-.25 Acres,0.97,NC,"2531 Impulsion Drive,Apex,NC,27562",35.689481,-78.93427799999999
2257,2332776,CLOSED,2912 Early Planting Avenue,Apex,27502,9/18/2020,Smith Farm,"2,730",2020,4,3,0,Detached,"$414,465.00","$410,970.00",0,Yes,2,0-.25 Acres,0.99,NC,"2912 Early Planting Avenue,Apex,NC,27502",35.7339865,-78.9235678
2258,2339171,CLOSED,4820 Rhythm Drive,Apex,27539-5791,10/13/2020,Harmony Glen,"2,489",2001,3,2,1,Detached,"$399,000.00","$411,000.00",1,Yes,2,.51-.75 Acres,1.03,NC,"4820 Rhythm Drive,Apex,NC,27539-5791",35.6933087,-78.8074027
2259,2326155,CLOSED,1923 Baldhead Island Drive,Apex,27502,7/31/2020,Bella Casa,"2,238",2015,3,2,1,Detached,"$409,000.00","$411,000.00",1,Yes,2,0-.25 Acres,1.0,NC,"1923 Baldhead Island Drive,Apex,NC,27502",35.71346,-78.9149671
2260,2311859,CLOSED,908 Wellstone Circle,Apex,27502,6/9/2020,Shepherds Vineyard,"2,941",1987,4,2,1,Detached,"$419,000.00","$411,000.00",9,Yes,2,.26-.5 Acres,0.98,NC,"908 Wellstone Circle,Apex,NC,27502",35.7385714,-78.8300134
2261,2173288,CLOSED,2004 Fitchburg Court,Apex,27523,3/29/2018,Walden Creek,"2,933",1997,4,3,1,Detached,"$400,000.00","$411,000.00",3,Yes,2,0-.25 Acres,1.03,NC,"2004 Fitchburg Court,Apex,NC,27523",35.7582876,-78.8810122
